SlotId,X,Y,W,H
616,1542,1584,380,359
617,748,1442,380,380
618,80,1258,380,380
217,2018,1124,360,360
218,840,912,220,220
219,590,836,220,220
220,330,758,220,220
253,2232,516,216,216
254,2002,460,216,216
255,1766,430,216,216
256,1561,421,190,190
257,1369,387,190,190
258,1182,378,160,160
259,1000,330,160,160
290,2299,287,170,170
291,2111,281,170,170
292,1905,265,170,170
293,1711,251,170,170
294,1555,239,150,150
295,1379,213,150,150
296,1229,199,150,150
325,2354,100,140,140
326,2200,92,140,140
327,2050,84,140,140
328,1904,70,140,140
329,1772,56,140,140
330,1629,61,130,130
331,1491,49,130,130
