SlotId,X,Y,W,H
609,564,1594,380,349
197,1876,1046,300,300
198,1513,1053,330,330
199,1146,1004,360,360
200,794,1016,360,360
201,454,972,360,360
202,86,948,360,360
228,2210,508,216,216
229,1986,494,216,216
230,1732,496,216,216
231,1508,486,216,216
232,1254,442,216,216
233,1020,448,216,216
234,818,434,216,216
235,600,420,216,216
236,364,418,216,216
237,163,393,186,186
264,2253,303,170,170
265,2047,305,170,170
266,1853,299,170,170
267,1659,295,170,170
268,1479,289,170,170
269,1305,263,170,170
270,1105,259,170,170
271,915,249,170,170
272,731,241,170,170
273,549,219,170,170
274,383,215,170,170
275,211,239,150,150
276,27,215,150,150
297,2362,120,140,140
298,2204,114,140,140
299,2064,102,140,140
300,1918,98,140,140
301,1774,94,140,140
302,1622,98,140,140
303,1466,94,140,140
304,1328,80,140,140
305,1188,68,140,140
306,1044,72,140,140
307,906,70,140,140
308,762,66,140,140
309,616,54,140,140
310,482,58,140,140
311,351,45,130,130
312,201,47,130,130
