SlotId,X,Y,W,H
613,2088,1570,380,373
614,1204,1560,380,380
615,264,1556,380,380
211,2050,1032,340,340
212,1723,1029,330,330
213,1359,1053,330,330
214,1012,1032,360,360
215,666,998,360,360
216,328,1034,320,320
217,1,1028,275,300
244,2426,492,165,196
245,2204,488,196,196
246,1978,472,196,196
247,1776,462,216,216
248,1566,464,216,216
249,1328,470,216,216
250,1110,470,216,216
251,866,482,216,216
252,666,470,216,216
253,444,464,216,216
254,231,481,186,186
255,1,479,186,186
280,2420,298,160,160
281,2234,302,160,160
282,2066,298,160,160
283,1881,291,170,170
284,1695,279,170,170
285,1501,279,170,170
286,1317,279,170,170
287,1155,283,170,170
288,955,277,170,170
289,785,283,170,170
290,593,273,170,170
291,405,283,170,170
292,219,289,150,150
293,27,285,150,150
313,2425,107,130,130
314,2295,107,130,130
315,2177,103,130,130
316,2017,107,130,130
317,1882,98,140,140
318,1732,98,140,140
319,1596,108,140,140
320,1472,100,140,140
321,1314,94,140,140
322,1170,96,140,140
323,1018,100,140,140
324,880,94,140,140
325,736,94,140,140
326,594,92,140,140
327,460,94,140,140
328,311,107,130,130
329,183,97,130,130
330,43,105,130,130
