SlotId,X,Y,W,H
610,1644,1562,380,380
201,2080,1024,340,340
202,1675,1029,330,330
203,1333,1037,330,330
204,338,1000,320,320
205,2,1010,300,300
232,2256,444,216,216
233,2028,426,216,216
234,1796,440,216,216
235,1554,434,216,216
236,1342,430,216,216
237,1130,440,216,216
238,892,434,216,216
239,666,446,216,216
240,442,436,216,216
241,243,463,186,186
242,37,453,186,186
268,2283,237,170,170
269,2115,245,170,170
270,1937,233,170,170
271,1733,253,170,170
272,1549,245,170,170
273,1361,251,170,170
274,1183,251,170,170
275,993,259,170,170
276,811,253,170,170
277,623,261,170,170
278,439,255,170,170
279,291,269,150,150
280,91,277,150,150
304,1940,46,140,140
305,1798,60,140,140
306,1654,56,140,140
307,1512,66,140,140
308,1356,68,140,140
309,1224,70,140,140
310,1078,70,140,140
311,946,68,140,140
312,796,62,140,140
313,662,66,140,140
314,532,74,140,140
315,392,72,140,140
316,261,81,130,130
317,129,79,130,130
