SlotId,X,Y,W,H
603,1034,1640,240,240
604,718,1320,240,240
605,504,1126,200,200
606,306,944,180,180
607,169,811,150,150
608,15,673,150,150
184,2032,1652,240,240
185,1890,1404,200,200
186,1620,1338,160,160
187,1412,1254,160,160
188,1248,1148,160,160
189,1137,1063,110,110
190,1007,985,110,110
191,885,895,110,110
192,777,833,90,90
193,693,763,90,90
194,601,717,90,90
195,513,657,90,90
196,431,603,90,90
221,1667,753,110,110
222,1531,699,90,90
223,1417,651,90,90
224,1307,601,90,90
225,1207,547,90,90
226,1121,517,70,70
227,1053,477,70,70
228,975,445,70,70
229,903,415,70,70
230,819,391,70,70
262,1549,467,90,90
263,1441,443,70,70
264,1345,405,70,70
265,1267,379,70,70
266,1195,351,70,70
267,1113,325,70,70
